missing_alt,missing_label,low_contrast,bad_heading_structure,missing_aria,keyboard_issue,severity
1,0,0,1,0,0,Major
0,1,0,0,1,0,Minor
1,0,0,0,0,1,Critical
1,1,0,1,0,1,Critical
1,0,1,1,1,0,Critical
0,1,0,1,0,0,Minor
0,0,1,1,0,1,Major
1,0,0,0,0,0,Major
1,1,1,0,1,1,Critical
0,1,0,0,1,0,Minor
1,1,1,0,1,1,Critical
0,0,0,0,0,0,Minor
0,0,1,0,0,1,Major
0,0,0,1,0,0,Minor
0,0,1,1,0,1,Major
0,0,1,0,1,0,Minor
0,0,0,0,1,0,Minor
1,1,1,1,0,0,Critical
0,0,0,0,1,1,Major
0,0,1,1,1,0,Major
0,0,0,1,0,0,Minor
1,1,1,0,1,1,Critical
0,0,0,0,1,0,Minor
0,0,1,0,1,0,Minor
1,0,0,1,0,0,Major
1,1,1,0,0,0,Major
0,1,0,0,0,0,Minor
0,1,1,0,0,1,Major
1,0,1,0,0,1,Critical
1,0,0,1,1,1,Critical
0,0,0,1,1,0,Minor
0,1,0,0,1,1,Major
1,0,1,1,0,0,Major
1,0,0,0,0,1,Critical
0,0,0,0,0,0,Minor
1,0,0,1,0,0,Major
0,0,0,0,1,0,Minor
0,1,0,0,1,1,Major
0,0,0,0,0,1,Major
1,1,1,0,1,1,Critical
0,1,0,0,0,0,Minor
0,0,1,1,0,0,Minor
0,1,0,0,1,0,Minor
1,0,0,0,0,1,Critical
0,1,0,1,0,0,Minor
1,0,1,0,1,0,Major
0,0,1,1,0,0,Minor
1,0,0,1,1,0,Major
1,0,0,1,0,0,Major
1,1,0,1,1,0,Critical
1,1,0,0,1,1,Critical
0,0,1,0,0,0,Minor
1,1,1,1,0,0,Critical
0,0,1,0,0,0,Minor
0,0,1,0,1,1,Major
0,1,1,1,0,0,Major
0,1,0,0,0,1,Major
0,0,1,0,1,1,Major
0,0,0,0,1,0,Minor
0,0,0,1,0,1,Major
0,1,1,0,0,0,Minor
0,0,1,1,0,0,Minor
1,0,1,1,0,1,Critical
0,0,1,1,0,0,Minor
0,0,0,1,1,0,Minor
0,0,1,0,0,0,Minor
0,0,0,1,0,0,Minor
0,0,0,0,1,1,Major
1,1,1,1,0,1,Critical
1,1,0,0,1,0,Major
0,0,1,1,1,1,Critical
0,0,0,0,1,1,Major
0,0,1,0,1,0,Minor
0,0,1,0,0,0,Minor
0,1,1,0,0,0,Minor
1,1,1,0,0,1,Critical
0,1,1,0,1,0,Major
1,0,1,1,0,0,Major
0,0,0,1,0,0,Minor
1,0,1,0,1,0,Major
0,0,0,1,1,0,Minor
0,0,1,0,0,1,Major
0,1,0,0,1,1,Major
0,0,1,1,0,0,Minor
1,0,0,1,1,0,Major
0,0,0,1,0,0,Minor
0,1,1,1,1,1,Critical
0,0,1,0,1,0,Minor
0,1,0,1,0,0,Minor
0,1,1,1,0,1,Critical
1,1,1,0,0,0,Major
0,0,1,0,1,0,Minor
1,0,0,1,0,0,Major
0,1,1,1,1,1,Critical
1,1,1,0,1,0,Critical
0,0,1,1,0,1,Major
1,0,0,1,1,0,Major
0,1,0,0,0,0,Minor
1,0,0,1,1,1,Critical
0,1,1,0,1,0,Major
0,1,1,1,0,0,Major
0,0,0,0,0,0,Minor
0,1,0,0,0,0,Minor
0,1,0,1,1,0,Major
1,1,1,0,0,1,Critical
1,1,0,1,0,0,Major
1,0,1,0,0,1,Critical
1,0,0,0,1,1,Critical
0,1,1,1,1,1,Critical
1,0,1,0,1,1,Critical
0,1,0,1,1,1,Critical
1,0,1,0,0,0,Major
0,1,0,1,0,0,Minor
1,0,0,0,0,0,Major
1,0,0,1,1,0,Major
0,0,0,1,1,0,Minor
0,1,0,1,0,1,Major
1,1,1,0,0,0,Major
0,0,1,1,0,0,Minor
0,1,0,1,0,0,Minor
0,0,1,0,1,1,Major
1,1,1,0,1,1,Critical
0,0,1,0,0,1,Major
1,1,1,1,0,0,Critical
0,0,1,1,0,0,Minor
1,1,0,1,1,0,Critical
1,1,0,1,1,1,Critical
1,1,0,0,1,1,Critical
1,1,1,1,1,0,Critical
0,1,1,1,0,0,Major
0,0,0,1,0,0,Minor
1,0,0,1,0,1,Critical
0,0,1,1,0,0,Minor
1,1,0,0,0,1,Critical
0,0,0,1,1,0,Minor
0,0,0,0,1,0,Minor
0,1,0,1,0,0,Minor
0,1,0,1,0,1,Major
0,0,1,1,1,0,Major
1,1,1,1,0,1,Critical
0,0,0,1,0,0,Minor
1,0,0,0,0,1,Critical
1,0,0,0,1,1,Critical
0,0,1,0,0,1,Major
1,0,0,0,1,1,Critical
1,1,0,0,1,0,Major
0,0,0,1,0,0,Minor
1,0,1,1,1,0,Critical
0,1,0,0,0,0,Minor
1,0,1,0,1,0,Major
0,0,0,1,0,0,Minor
1,0,1,1,1,0,Critical
0,0,0,1,1,0,Minor
1,0,0,1,0,1,Critical
0,0,1,1,1,0,Major
0,1,1,0,0,1,Major
1,1,1,1,1,0,Critical
1,1,1,0,1,0,Critical
0,1,1,0,0,1,Major
1,1,1,1,1,0,Critical
0,1,1,0,0,0,Minor
0,0,0,1,0,0,Minor
1,0,1,0,0,0,Major
0,0,0,1,0,0,Minor
0,1,0,0,0,1,Major
0,0,1,0,0,1,Major
1,1,0,0,0,0,Major
0,0,1,1,1,0,Major
0,1,0,0,0,0,Minor
0,0,1,1,0,1,Major
0,1,1,1,1,1,Critical
1,1,0,0,0,1,Critical
0,0,1,0,0,0,Minor
1,0,1,1,1,0,Critical
0,1,1,0,1,0,Major
1,0,1,0,1,0,Major
0,1,0,0,0,1,Major
0,0,1,0,1,0,Minor
0,0,1,1,0,1,Major
0,1,1,0,0,1,Major
1,0,0,1,1,0,Major
1,0,0,1,1,0,Major
1,0,1,0,1,0,Major
0,1,1,1,1,0,Major
1,0,1,0,0,0,Major
0,0,1,0,1,1,Major
0,0,1,0,0,0,Minor
0,1,1,1,0,1,Critical
1,1,0,1,0,1,Critical
0,0,1,1,1,1,Critical
0,1,0,1,1,0,Major
1,0,0,1,1,0,Major
0,1,0,1,0,0,Minor
0,0,0,1,0,1,Major
1,1,1,0,0,0,Major
0,0,0,0,0,1,Major
1,0,0,1,1,0,Major
0,1,0,1,0,0,Minor
0,1,1,0,0,1,Major
1,0,0,0,0,1,Critical
0,0,0,1,1,0,Minor
0,0,0,0,1,0,Minor
0,1,1,1,1,0,Major
1,1,0,0,0,1,Critical
0,0,1,1,1,1,Critical
0,0,1,1,0,0,Minor
1,0,1,1,0,1,Critical
0,0,1,1,0,1,Major
0,0,0,1,0,1,Major
0,0,1,1,1,1,Critical
0,0,0,0,0,1,Major
1,0,1,0,0,1,Critical
0,1,0,0,0,0,Minor
0,1,0,0,1,0,Minor
1,0,0,1,1,0,Major
1,0,1,1,1,1,Critical
0,1,0,1,0,0,Minor
0,0,1,0,0,1,Major
0,0,0,0,0,0,Minor
1,1,1,0,1,1,Critical
1,0,1,0,1,0,Major
0,0,1,1,0,1,Major
1,1,0,1,1,1,Critical
0,0,0,0,0,0,Minor
1,0,0,1,0,0,Major
1,1,1,0,0,1,Critical
1,0,1,0,1,0,Major
0,0,1,0,0,0,Minor
0,0,1,1,1,0,Major
1,0,1,1,0,1,Critical
1,0,0,1,1,0,Major
0,1,1,1,0,1,Critical
1,0,0,0,1,0,Major
0,0,1,1,0,1,Major
1,0,0,1,1,1,Critical
0,1,1,1,1,0,Major
0,1,0,0,1,0,Minor
1,0,0,0,1,0,Major
0,1,0,0,0,1,Major
0,1,0,0,0,0,Minor
0,1,1,1,0,0,Major
1,1,1,0,0,1,Critical
0,0,0,0,0,0,Minor
0,1,0,1,1,1,Critical
0,0,0,1,1,0,Minor
1,1,0,1,1,0,Critical
1,0,1,1,0,1,Critical
0,0,1,1,1,0,Major
1,0,0,0,1,1,Critical
0,0,0,0,1,1,Major
1,0,1,1,0,1,Critical
1,1,1,1,1,0,Critical
1,0,1,0,0,0,Major
0,1,0,0,0,0,Minor
0,0,0,0,0,1,Major
0,0,0,0,0,1,Major
0,0,0,1,1,1,Major
1,1,1,0,0,1,Critical
0,1,1,0,0,1,Major
1,1,0,0,0,1,Critical
0,1,0,1,0,0,Minor
1,1,1,1,1,1,Critical
0,0,1,1,1,0,Major
0,0,0,0,0,1,Major
0,0,1,1,0,1,Major
1,1,1,1,0,0,Critical
1,1,0,0,0,0,Major
0,0,0,1,0,0,Minor
0,0,1,1,0,0,Minor
0,1,1,1,1,0,Major
1,0,0,0,1,0,Major
0,1,1,1,0,1,Critical
0,0,1,0,1,0,Minor
1,0,0,1,1,0,Major
0,0,1,1,0,0,Minor
1,0,0,0,0,1,Critical
1,1,0,0,1,1,Critical
1,0,0,1,1,0,Major
0,1,1,0,0,0,Minor
0,0,1,0,0,1,Major
0,0,0,0,1,0,Minor
0,0,0,0,0,0,Minor
0,0,0,0,1,1,Major
1,0,1,0,0,1,Critical
0,1,0,0,0,0,Minor
0,0,0,1,1,1,Major
0,0,0,0,1,1,Major
1,1,0,0,0,1,Critical
1,0,0,1,1,1,Critical
0,0,1,1,1,1,Critical
0,1,0,0,1,0,Minor
1,1,0,0,1,1,Critical
0,0,0,1,1,0,Minor
1,0,1,0,0,1,Critical
1,0,0,0,1,1,Critical
0,1,0,1,1,0,Major
0,0,1,0,0,1,Major
0,1,1,0,1,0,Major
1,1,0,1,0,1,Critical
0,1,0,1,1,1,Critical
